Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Renault,Clio,22.1,5.62,75.58,1219.65,petrol,241287,241287,28004,581847
BMW,320i,47.85,6.44,126.11,1995.78,petrol,408016,408016,29125,552984
Volkswagen,Polo,18.19,5.07,60.96,1408.06,petrol,216333,216333,31701,547144
Peugeot,206,20.03,4.83,71.33,1631.5,petrol,178698,178698,26135,455447
Ford,Mondeo,39.97,1.75,130.25,1998.5,petrol,357452,357452,16550,443605
Nissan,Micra,20.38,4.87,67.96,1279.7,petrol,143218,143218,26619,422837
Honda,Civic,29.94,4.5,106.22,1480.58,petrol,242188,242188,21042,396188
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,102708,102708,20324,392460
Renault,Megane,26.45,5.41,87.31,1623.79,petrol,209379,209379,21049,387035
Toyota,Yaris,20.72,3.52,74.4,1397.8,petrol,137907,137907,27670,380521
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,209476,209476,17242,296091
Audi,A4,57.93,6.16,149.71,2283.11,petrol,202037,202037,13629,275602
Volkswagen,Passat,46.06,6.49,125.44,1835.85,petrol,211510,211510,14505,274614
Audi,A3,36.22,6.47,94.33,1424.67,petrol,144962,144962,14460,256455
Peugeot,307,27.46,4.87,86.45,1723.0,petrol,132728,132728,14395,256114
Peugeot,207,21.7,4.9,79.77,1536.0,petrol,99472,99472,13442,251753
Citroen,Xsara,22.36,4.88,72.58,1743.44,petrol,145377,145377,11519,243925
Skoda,Fabia,19.01,5.21,66.97,1292.35,petrol,109408,109408,10776,207716
BMW,118i,37.43,6.2,104.2,1796.6,petrol,103719,103719,11806,203185
Land-Rover,Freelander,43.86,5.29,105.17,2083.52,diesel,118279,118279,9921,187569
Citroen,C3,22.9,5.41,75.65,1364.0,petrol,78551,78551,9893,186698
Toyota,Corolla,27.24,3.03,91.61,1677.95,petrol,104996,104996,12042,184222
BMW,535i,93.71,8.0,225.0,2979.0,petrol,138584,138584,9443,169329
Toyota,Avensis,37.32,4.32,103.68,1873.26,petrol,123806,123806,9574,163108
Mercedes,E,78.07,7.67,192.4,2598.82,petrol,125070,125070,9465,158564
Renault,Scenic,32.06,5.96,89.35,1472.83,diesel,85989,85989,8346,156802
Seat,Ibiza,19.94,5.65,76.32,1205.19,petrol,74717,74717,6282,154894
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,107520,107520,6847,148446
Nissan,Qashqai+2,34.94,5.25,97.72,1820.66,diesel,79290,79290,8830,144659
Skoda,Octavia,30.65,6.35,95.0,1136.69,petrol,110428,110428,6147,142237
Fiat,500L,26.29,5.6,74.73,1186.33,diesel,30349,30349,8177,140639
Mercedes,A,31.1,4.55,93.01,1699.12,petrol,55510,55510,9727,134165
Nissan,Almera,22.78,4.92,81.67,1847.67,petrol,78034,78034,7892,130632
Citroen,C4,29.26,5.95,90.62,1462.36,petrol,79604,79604,5547,127281
Mini,One,24.1,6.25,68.75,1498.25,petrol,29548,29548,7427,124949
Toyota,RAV4,43.55,1.35,137.77,2261.19,petrol,59395,59395,8166,121566
Saab,9-3X,49.29,6.0,145.0,1963.67,petrol,84741,84741,6616,119305
Peugeot,107,11.14,5.0,50.0,998.0,petrol,32821,32821,5917,112629
Toyota,Aygo,15.21,5.0,53.0,998.0,petrol,33395,33395,7814,107356
Hyundai,I10,16.01,5.0,51.78,998.0,petrol,39242,39242,4208,106796
Audi,A6,82.06,7.73,199.73,2790.45,diesel,85861,85861,5507,106514
Kia,Picanto,16.59,5.0,52.85,998.0,petrol,36803,36803,3857,105385
Nissan,Note,19.32,5.0,66.43,1348.29,diesel,54195,54195,5908,101859
Seat,Leon,32.94,6.35,114.82,1615.37,petrol,65505,65505,3778,99504
Jaguar,XE,65.57,8.0,167.25,1998.0,petrol,79176,79176,3968,97090
Ford,Fusion,19.38,4.86,61.27,1470.91,petrol,51517,51517,4395,96939
Honda,Accord,39.4,5.78,117.71,2151.65,petrol,74157,74157,5274,95320
Mazda,MX-5,37.47,5.86,103.43,1718.57,petrol,47900,47900,5986,93405
Mazda,6,42.67,5.91,118.19,2095.19,petrol,71632,71632,4536,93384
Citroen,C1,13.49,5.0,52.38,1028.92,petrol,30691,30691,4503,92422
Suzuki,Swift,19.09,3.73,68.91,1180.55,petrol,34918,34918,6070,90817
Ford,Galaxy,53.79,6.0,124.86,1855.0,diesel,60515,60515,5151,90559
Peugeot,308,32.33,5.89,103.11,1482.5,petrol,50045,50045,4024,90079
Mazda,3,31.0,5.79,101.89,1905.63,petrol,52309,52309,4647,89680
Audi,TT,64.59,6.78,178.56,2011.56,petrol,45707,45707,5714,89371
Renault,Laguna,34.02,5.55,99.0,1920.03,diesel,66613,66613,3850,86809
Mazda,2,21.6,6.0,64.62,1496.0,petrol,29852,29852,5032,86198
Fiat,Panda,10.42,5.0,52.44,1095.78,petrol,34789,34789,4671,82232
Toyota,Auris,26.97,3.08,85.69,1515.28,petrol,47251,47251,4747,82030
Peugeot,306,18.64,4.84,67.0,1698.64,petrol,50801,50801,3897,81294
Peugeot,106,12.36,4.65,53.88,1366.29,petrol,41148,41148,3722,80790
Volvo,V70,50.96,6.18,135.29,1971.16,diesel,59903,59903,4431,78657
Citroen,Saxo,12.33,4.82,53.82,1367.27,petrol,38039,38039,3354,74674
Volkswagen,Touran,32.99,6.23,94.04,1528.81,diesel,41330,41330,4531,70042
Volkswagen,Beetle,33.25,6.17,112.75,1475.0,petrol,16475,16475,4776,70001
Kia,Rio,22.96,6.29,80.0,998.0,petrol,36610,36610,2239,67730
Ford,C-MAX,32.18,6.0,99.0,1448.6,petrol,39067,39067,2336,64302
BMW,X5,113.27,8.0,246.33,2994.67,diesel,45819,45819,3268,63675
Nissan,Juke,28.23,6.45,86.0,999.0,petrol,24663,24663,5707,62415
Suzuki,Vitara,26.8,5.43,85.71,1310.0,petrol,34682,34682,3559,61335
Kia,Ceed,26.98,5.86,88.09,1460.8,petrol,37398,37398,1991,59685
Peugeot,406,28.61,4.76,92.82,2043.82,petrol,46504,46504,2693,59182
Hyundai,Getz,13.64,4.71,69.0,1424.86,petrol,24389,24389,2947,58992
Nissan,X-Trail,47.36,3.75,113.38,1774.81,diesel,41540,41540,2532,58825
Mercedes,CLK,72.8,6.21,166.32,3041.0,petrol,38415,38415,3538,58391
Volvo,S40,35.28,5.18,113.35,2106.5,petrol,41358,41358,3194,58177
Rover,75,39.35,5.0,98.05,1928.71,petrol,46997,46997,2388,57445
Citroen,Berlingo,27.44,6.34,85.28,1452.0,diesel,37450,37450,2902,56357
Suzuki,Alto,9.56,4.6,50.0,996.0,petrol,21062,21062,4330,56169
Nissan,Primera,26.51,4.02,93.59,1933.02,petrol,41096,41096,3286,55803
Hyundai,I20,21.85,6.09,70.73,1052.27,petrol,26734,26734,2019,55498
Mercedes,SLK,61.86,6.83,184.17,2748.33,petrol,24741,24741,3794,53959
Ford,S-MAX,47.52,6.0,128.89,1886.56,diesel,31973,31973,2374,52170
Mercedes,ML,77.42,7.0,188.33,2876.0,diesel,35260,35260,3081,52160
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,32328,32328,1642,51834
Peugeot,407,38.73,5.54,114.65,2178.19,diesel,40589,40589,2246,51825
Citroen,C2,15.14,5.0,64.0,1382.75,petrol,21142,21142,2495,51614
Hyundai,I30,28.61,5.95,100.59,1387.62,petrol,31244,31244,2059,51490
Jaguar,XF,78.75,8.0,176.25,1997.0,diesel,43857,43857,1940,50657
Audi,A1,27.08,6.23,86.64,1377.57,petrol,17678,17678,2342,49791
Mitsubishi,Colt,17.04,5.3,73.49,1374.05,petrol,20915,20915,2781,48805
Audi,A5,59.43,7.0,150.45,1981.82,petrol,35411,35411,2161,46703
Jaguar,S-Type,66.59,5.74,172.32,2934.63,petrol,36990,36990,1853,43876
Volvo,V50,36.52,5.18,113.35,2106.5,petrol,29574,29574,2481,43742
Ford,Escort,16.21,4.46,63.56,1650.21,petrol,31223,31223,1626,43527
Volvo,XC90,85.83,8.0,213.15,1969.0,petrol,26579,26579,2834,42273
Citroen,C5,34.91,5.6,104.23,1805.92,diesel,33777,33777,1831,42173
Volvo,V40,35.81,6.29,117.43,1921.47,petrol,28059,28059,2413,41308
BMW,X3,76.59,8.0,184.0,2396.4,petrol,24013,24013,2645,40319
Volkswagen,Tiguan,44.31,6.71,108.0,1663.93,petrol,23104,23104,1750,39396
Mercedes,B,41.39,7.29,105.71,1545.43,diesel,19092,19092,2148,36741
Smart,Fortwo,19.97,2.81,55.38,592.56,automatic,17738,17738,2113,36699
Volkswagen,Bora,25.4,4.65,78.85,1891.59,petrol,26706,26706,1758,36406
Rover,45,23.32,3.75,84.2,1853.9,petrol,25441,25441,1547,35521
Porsche,911,158.79,7.47,293.53,3005.4,petrol,29960,29960,1599,34977
Jaguar,XJ,137.57,8.0,223.55,2813.0,petrol,30739,30739,1496,34876
Subaru,Impreza,30.6,1.8,97.6,1757.6,petrol,27537,27537,1348,34850
Saab,09-May,52.96,5.65,146.12,2031.47,petrol,26909,26909,1856,34327
Toyota,Celica,31.53,5.17,109.67,1861.83,petrol,23509,23509,1694,33552
Volkswagen,Sharan,45.7,6.0,114.0,1854.2,diesel,23214,23214,2551,33512
Hyundai,Santa,44.14,6.55,144.64,2242.64,diesel,22644,22644,1516,33372
Peugeot,208,22.85,6.52,73.24,1241.86,petrol,13875,13875,1215,32520
Volvo,S60,52.08,8.0,223.83,1969.0,petrol,25331,25331,1689,31933
Citroen,DS3,23.36,5.25,81.29,1410.36,petrol,13057,13057,1231,31655
Renault,Modus,17.82,4.67,70.33,1298.67,petrol,13701,13701,1747,30708
MG,ZR,21.02,5.0,92.33,1729.33,petrol,19477,19477,1264,30705
Chrysler,Voyager,39.71,4.84,117.58,2719.84,diesel,19359,19359,1712,30389
Kia,Sorento,36.01,6.0,151.67,2048.67,petrol,20969,20969,907,29697
BMW,Z4,64.11,6.75,202.12,2778.0,petrol,19343,19343,1748,29553
Rover,2000,17.18,5.0,74.0,1994.0,petrol,17725,17725,1320,29537
Volkswagen,Up,17.07,5.12,51.38,999.0,petrol,10220,10220,1082,29196
Suzuki,Jimny,25.94,4.78,67.0,1372.67,petrol,14101,14101,1973,28841
Chevrolet,Matiz,9.49,4.91,40.82,850.27,petrol,9404,9404,1692,28470
Porsche,Boxster,83.5,6.5,213.5,3071.0,petrol,20033,20033,1597,27942
Suzuki,Wagon,9.86,5.0,50.0,1090.4,petrol,12629,12629,1891,27324
Peugeot,3008,40.98,7.31,114.27,1352.58,petrol,17213,17213,1071,27258
Mazda,323,17.34,4.75,70.92,1683.61,petrol,15999,15999,1566,26969
Ford,Puma,30.38,6.31,94.06,935.62,petrol,11079,11079,1749,26865
Fiat,Stilo,22.78,5.27,92.36,1837.36,petrol,15843,15843,1340,26157
Volkswagen,Scirocco,33.71,6.15,120.15,1750.62,petrol,17313,17313,1072,25113
Jaguar,XK,145.65,6.0,283.0,5000.0,petrol,20604,20604,1154,24771
Seat,Altea,27.13,5.77,96.05,1774.78,diesel,14157,14157,999,24651
Volvo,C30,32.49,5.3,113.28,2093.02,petrol,13551,13551,1421,24611
Hyundai,Accent,14.29,4.6,75.4,1479.0,petrol,13520,13520,1296,23665
Volkswagen,Lupo,13.88,4.75,47.75,1373.75,petrol,8828,8828,1320,22660
Mercedes,Sprinter,43.07,6.25,104.2,2222.71,diesel,18660,18660,1630,22529
Hyundai,Ix35,38.9,5.84,113.84,1926.0,diesel,13708,13708,660,22359
Renault,Kangoo,18.77,4.86,67.02,1391.02,diesel,13273,13273,1332,22091
Mazda,5,22.13,5.5,75.09,1622.68,petrol,12385,12385,1099,22045
Volkswagen,Jetta,31.31,6.26,96.93,1587.22,petrol,16259,16259,989,21858
Seat,Alhambra,49.82,6.0,115.83,1746.94,petrol,14659,14659,1284,21553
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,14370,14370,1245,21272
Suzuki,Ignis,19.45,3.57,61.0,1197.0,petrol,9623,9623,1499,21225
Suzuki,SX4,20.67,4.75,88.0,1586.0,petrol,10925,10925,1217,21177
Kia,Carens,31.2,6.0,105.88,1755.75,petrol,13424,13424,866,20483
Audi,Q5,64.51,6.85,144.23,2048.54,diesel,12761,12761,1044,20393
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,16634,16634,1069,20253
Peugeot,Partner,20.36,5.86,82.25,1534.39,diesel,13570,13570,989,20090
Skoda,Yeti,30.35,6.3,83.5,1452.3,petrol,13365,13365,883,20048
Volkswagen,Touareg,94.1,8.0,190.0,2967.0,diesel,14059,14059,906,19938
Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,7901,7901,1075,19546
Skoda,Superb,39.72,6.8,110.0,1592.0,petrol,16399,16399,763,19529
Fiat,Bravo,22.46,6.0,92.31,1466.31,petrol,11663,11663,837,19515
BMW,X1,51.44,7.2,123.93,1863.13,diesel,10717,10717,1268,19427
Audi,Q7,106.55,8.0,210.0,2976.33,diesel,13244,13244,981,18804
Alfa-Romeo,147,25.34,5.19,95.1,1802.77,petrol,11552,11552,1064,18359
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,11658,11658,925,18178
BMW,740i,115.53,8.0,250.0,2998.0,petrol,15286,15286,1055,17860
MG,TF,32.09,4.0,98.2,1754.4,petrol,10315,10315,930,17730
Volvo,S80,50.94,6.27,138.28,1986.77,diesel,14400,14400,963,17624
Volkswagen,Fox,12.5,5.0,48.67,1336.67,petrol,6154,6154,995,17617
Renault,Twingo,14.94,5.2,59.6,958.6,petrol,6015,6015,672,17134
Mitsubishi,Lancer,23.02,4.73,90.88,1709.54,petrol,12773,12773,607,17083
Fiat,Doblo,25.17,5.52,79.31,1523.74,diesel,11730,11730,900,17070
Volkswagen,Eos,42.29,6.0,113.8,1740.0,petrol,6660,6660,1352,17059
BMW,M3,135.11,6.5,309.0,3999.0,petrol,14930,14930,661,16974
Chrysler,PT,29.88,4.74,109.11,2238.63,petrol,9477,9477,1029,16872
Hyundai,Matrix,18.51,4.6,76.0,1599.0,petrol,9531,9531,789,16641
Toyota,IQ,17.32,3.67,58.44,1152.89,petrol,6539,6539,1288,16461
Mercedes,SLS,264.68,7.0,420.0,6208.0,petrol,12431,12431,879,16431
Audi,A2,23.05,5.0,55.0,1406.0,petrol,7516,7516,1211,16412
BMW,Z3,39.74,4.6,115.0,2234.4,petrol,9579,9579,969,15691
Volvo,C70,52.2,5.31,126.5,2323.94,petrol,10078,10078,893,15613
Skoda,Roomster,20.92,5.38,68.88,1272.44,petrol,9000,9000,799,15469
Suzuki,Splash,13.15,4.8,55.4,1144.8,petrol,6376,6376,905,15258
Toyota,Previa,43.08,4.67,105.0,2239.67,petrol,10252,10252,1118,15233
Toyota,Starlet,11.39,4.14,53.0,1308.29,petrol,6266,6266,811,14623
Chevrolet,Aveo,18.61,5.2,69.6,1330.4,petrol,6945,6945,728,14512
Volvo,XC70,58.47,6.44,148.52,2174.04,diesel,10247,10247,967,14267
Hyundai,Tucson,41.59,6.46,111.31,1624.77,petrol,9004,9004,571,14262
Subaru,Legacy,37.52,3.9,107.38,2084.38,petrol,10398,10398,823,14210
Porsche,Cayenne,158.98,8.0,326.0,3295.0,petrol,10034,10034,731,14183
Alfa-Romeo,156,32.9,5.33,116.29,2081.38,petrol,10882,10882,646,13956
BMW,640i,114.88,8.0,235.0,2979.0,petrol,11265,11265,694,13667
Chevrolet,Spark,11.4,5.0,52.5,1047.75,petrol,5142,5142,744,13571
Chevrolet,Kalos,14.22,4.73,64.45,1353.36,petrol,6012,6012,769,13539
Mitsubishi,Outlander,37.45,2.61,120.33,2085.06,petrol,8910,8910,620,13500
Nissan,Pixo,9.47,4.67,50.0,996.0,petrol,4700,4700,615,13409
Honda,FR-V,33.13,5.29,103.0,1914.71,petrol,7167,7167,782,13241
Daihatsu,Sirion,14.33,4.56,59.88,1183.25,petrol,5141,5141,739,12986
Rover,Mini,7.92,4.0,33.33,868.33,petrol,7690,7690,550,12979
Kia,Venga,23.59,5.25,81.17,1509.75,petrol,7343,7343,290,12936
Ford,Streetka,26.0,5.0,70.0,1597.0,petrol,2304,2304,899,12875
Skoda,Felicia,11.37,5.0,48.0,1518.0,petrol,7729,7729,640,12744
Nissan,Terrano,37.02,4.74,97.58,2697.37,diesel,9143,9143,569,10739
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,7314,7314,716,11720
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,9003,9003,630,12717
Chevrolet,Lacetti,18.76,4.71,80.43,1612.93,petrol,8102,8102,666,12710
 MG ,ZT,42.75,5.0,128.5,2548.83,petrol,10660,10660,405,12606
Mercedes,CLC,42.56,6.17,131.67,2313.67,petrol,6065,6065,737,12207
Land-Rover,Defender,108.75,7.85,207.61,2304.98,diesel,9293,9293,668,11128
Seat,Arosa,13.7,4.82,47.45,1384.0,petrol,4800,4800,573,11922
Honda,HR-V,32.72,3.6,96.0,1498.0,petrol,6436,6436,715,11528
Smart,City-coupe,13.21,6.0,35.8,679.0,petrol,4946,4946,662,10805
 Daihatsu ,Terios,26.2,4.62,77.0,1495.0,petrol,4903,4903,641,10774
Toyota,Carina,17.45,4.69,68.27,1791.23,petrol,7738,7738,579,10750
Fiat,Multipla,25.21,5.0,80.5,1753.0,petrol,6043,6043,636,10294
Audi,A8 ,116.54,8.0,230.0,2981.0,petrol,8781,8781,545,10075
Skoda, Citigo,12.68,5.0,45.0,999.0,petrol,3867,3867,404,9231
Suzuki,Liana ,18.88,4.67,74.0,1523.33,petrol,5205,5205,543,9215
Bentley,Continental,285.25,7.2,428.2,5577.8,petrol,7602,7602,406,9032
Chevrolet,Captiva,55.62,6.0,145.75,2460.75,petrol,5701,5701,425,9001
 Nissan,Pathfinder,60.96,5.5,146.0,2588.6,diesel,6393,6393,325,8957
Peugeot,205,13.12,4.75,50.88,1430.75,petrol,5690,5690,412,8943
Saab,900,37.01,4.59,114.68,2208.09,petrol,6096,6096,608,8754
Ford,B-MAX,22.92,5.25,75.5,1288.5,petrol,5001,5001,187,8684
Volvo,940,30.24,4.5,110.0,2316.0,petrol,6659,6659,463,8669
Seat,Toledo,20.37,5.64,74.21,1324.36,petrol,6234,6234,371,8614
Hyundai,Ix20,27.41,6.0,89.0,1552.0,petrol,5033,5033,223,8607
Volvo,850,36.38,4.5,125.71,2294.76,petrol,6702,6702,427,8567
Toyota ,Verso-S,22.05,3.6,73.0,1329.0,petrol,4955,4955,571,8512
Audi,S3,60.87,6.75,228.0,1984.0,petrol,6675,6675,322,8342
Alfa-Romeo,159,43.26,5.91,135.38,2276.0,diesel,6851,6851,383,8258
Daewoo,Lanos,13.25,4.83,66.67,1506.5,petrol,4259,4259,472,8036
Citroen,C8,45.59,5.25,104.17,2027.83,petrol,4896,4896,420,7935
Mazda,626,20.72,4.72,81.38,1950.91,petrol,5710,5710,430,7893
Dacia,Sandero,14.04,5.0,66.0,898.0,petrol,4395,4395,209,7873
Peugeot,807,45.76,5.31,109.08,2053.0,diesel,4829,4829,433,7697
Peugeot,5008,42.51,7.14,99.52,1294.14,petrol,4563,4563,395,7580
Porsche,Cayman,84.6,6.5,220.5,3071.0,petrol,5864,5864,362,7308
Chrysler,300C,70.32,4.5,199.0,4123.5,petrol,6232,6232,249,7248
Mercedes,300,62.4,4.38,135.5,2972.31,petrol,5685,5685,385,7245
Dacia,Duster,20.76,5.67,89.33,1332.0,petrol,4708,4708,195,7083
Peugeot,1007,18.66,5.0,59.58,1407.33,petrol,3061,3061,417,6818
Peugeot,508,46.85,7.71,125.05,1642.05,diesel,5657,5657,231,6807
Citroen,Xantia,24.84,4.76,84.93,1982.76,petrol,5246,5246,346,6784
Peugeot,RCZ,38.94,6.0,135.56,1642.33,petrol,3218,3218,352,6705
Nissan,350Z,55.42,6.0,221.0,3498.0,petrol,5649,5649,218,6667
Mazda,Demio,14.78,4.8,51.4,1428.4,petrol,3090,3090,397,6440
Honda,S2000,55.25,6.0,177.0,1997.0,petrol,4891,4891,281,6373
Mercedes,190,36.64,4.47,88.73,2284.13,petrol,4841,4841,348,6271
Hyundai,Trajet,30.35,4.4,99.0,2117.6,petrol,3984,3984,310,6220
Chevrolet,Tacuma,20.2,4.78,82.33,1775.78,petrol,3634,3634,390,6162
Alfa-Romeo,GT,37.35,5.38,121.06,1972.81,petrol,4892,4892,275,6156
Mazda,Premacy,23.22,4.91,82.0,1938.0,petrol,3819,3819,340,6149
Citroen,ZX,16.06,4.92,67.0,1703.15,petrol,3972,3972,300,6109
Volvo,V60,50.48,7.3,150.61,1969.0,diesel,4321,4321,379,5990
Fiat,Brava,17.22,4.89,70.0,1615.33,petrol,3555,3555,364,5986
Audi,S4,95.3,6.33,253.67,3764.33,petrol,4985,4985,214,5891
BMW,X6,125.5,8.0,282.25,3344.75,petrol,4371,4371,294,5813
Dodge,Caliber,26.59,4.12,108.62,1911.75,petrol,3537,3537,271,5647
Ford,Maverick,29.15,5.0,89.0,2526.5,petrol,4054,4054,246,5423
Rover,Streetwise,20.74,5.0,75.0,1695.0,petrol,3028,3028,282,5420
Rover,CityRover,11.74,5.0,63.0,1405.0,petrol,2351,2351,398,5352
Kia,Cerato,19.9,4.8,94.0,1742.6,petrol,3240,3240,238,5257
Lotus,Elise,53.79,6.0,134.33,1730.0,petrol,4463,4463,214,5139
Ford,Cougar,32.12,4.67,115.33,2362.0,petrol,3669,3669,224,4826
Smart,Roadster-coupe,24.35,6.0,60.0,698.0,petrol,3014,3014,317,4793
Aston-Martin,Vantage,360.76,6.0,410.0,5341.0,petrol,4192,4192,191,4742
Hyundai,I40,35.53,6.0,93.6,1647.4,diesel,3793,3793,139,4674
Chevrolet,Cruze,28.17,5.58,103.0,1706.33,petrol,3389,3389,201,4635
Seat,Exeo,33.86,5.38,116.25,1925.25,petrol,3722,3722,147,4528
Toyota,Urban,20.21,6.0,74.0,1329.0,petrol,2025,2025,296,4357
Seat,Mii,11.92,5.0,49.13,999.0,petrol,1693,1693,189,4327
Audi,A7,87.12,8.0,190.0,2967.0,diesel,3715,3715,162,4278
Peugeot,405,20.43,4.79,69.88,1773.0,petrol,3321,3321,148,4216
Abarth,500C,21.11,5.0,60.62,1039.5,petrol,2305,2305,180,4182
Volkswagen,Transporter,35.38,6.0,103.08,1968.0,diesel,3063,3063,244,4174
Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,petrol,2897,2897,249,4173
Citroen,DS4,31.13,5.75,105.25,1688.25,petrol,2709,2709,161,4162
Toyota,Picnic,25.3,4.5,94.0,1998.0,petrol,2672,2672,301,4107
Mercedes,Viano,57.23,5.23,120.43,2309.34,diesel,3085,3085,260,4067
Fiat,Ulysse,36.7,4.88,91.75,2019.75,petrol,2732,2732,220,4044
Ford,Sierra,18.3,4.88,70.25,1836.5,petrol,3439,3439,90,3934
Aston-Martin,DB9,273.76,6.0,381.0,5935.0,petrol,3354,3354,160,3819
Audi,80,27.1,4.67,91.75,2247.33,petrol,2934,2934,181,3785
Chrysler,Neon,19.72,4.0,98.0,1995.0,petrol,2363,2363,225,3772
Hyundai,Terracan,44.63,4.33,127.67,3100.33,diesel,2805,2805,101,3711
BMW,M550i,134.79,8.0,390.0,4395.0,petrol,3327,3327,139,3667
Kia,Magentis,28.8,4.8,111.2,2126.8,petrol,2855,2855,144,3662
Citroen,AX,10.83,5.0,45.0,1242.0,petrol,1935,1935,164,3591
Audi,RS4,121.77,6.67,316.33,3740.0,petrol,3101,3101,116,3495
Renault,Captur,27.94,6.21,93.36,1235.43,petrol,1837,1837,65,3476
Mitsubishi,Grandis,30.84,4.6,121.0,2378.0,petrol,2194,2194,224,3453
Chrysler,Crossfire,56.16,5.5,174.33,3199.0,petrol,2209,2209,162,3447
Honda,CR-Z,27.12,6.0,101.0,1497.0,petrol,1979,1979,209,3429
Mercedes,R,88.78,7.0,190.0,3377.44,petrol,2317,2317,251,3425
Honda,Stream,27.94,5.0,103.5,1833.0,petrol,2146,2146,267,3415
Fiat,Idea,20.31,5.35,63.29,1344.82,diesel,1712,1712,222,3343
Honda,Prelude,27.79,4.67,110.67,2050.33,petrol,2377,2377,153,3339
Hyundai,Elantra,19.06,4.6,89.2,1827.8,petrol,2299,2299,141,3183
Peugeot,607,48.1,5.11,117.79,2315.0,petrol,2608,2608,165,3179
Ssangyong,Rexton,54.27,5.67,114.0,1998.0,diesel,2226,2226,148,3163
Volkswagen,CC,46.95,6.11,126.78,1977.17,diesel,2631,2631,81,3126
Mini,Roadster,32.66,6.0,101.82,1424.73,petrol,756,756,221,2976
Peugeot,806,29.57,5.0,84.0,1997.14,diesel,2089,2089,170,2975
Saab,9000,41.62,4.6,125.36,2336.52,petrol,2362,2362,186,2948
Audi,S5,105.46,8.0,257.5,2981.0,petrol,2452,2452,129,2930
Citroen,Nemo,13.44,5.0,54.5,1304.0,petrol,1782,1782,145,2918
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,1887,1887,174,2893
Hyundai,Sonata,31.74,4.83,119.67,2116.0,petrol,2179,2179,142,2851
Ford,Capri,11.71,4.0,69.0,1864.8,petrol,2484,2484,52,2795
Fiat,Sedici,21.91,4.67,88.0,1586.0,petrol,1376,1376,159,2784
Alfa-Romeo,Brera,53.1,6.0,163.71,2679.29,petrol,2267,2267,129,2758
Porsche,944,59.49,5.0,137.5,2734.5,petrol,2352,2352,104,2702
Seat,Cordoba,17.31,4.97,66.35,1655.74,petrol,1823,1823,137,2695
Citroen,C-Crosser,35.73,4.4,121.0,2287.6,petrol,1828,1828,111,2693
Audi,Cabriolet,43.97,4.5,98.0,2309.0,petrol,1873,1873,150,2688
Fiat,Cinquecento,7.71,5.0,29.0,899.0,petrol,1382,1382,142,2674
Mitsubishi,Galant,25.08,4.53,93.6,2127.33,petrol,2096,2096,110,2655
Fiat,Qubo,16.7,5.0,54.0,1360.0,petrol,1592,1592,129,2628
Volvo,C30,32.49,5.3,113.28,2093.02,petrol,1354,1354,141,2562
Hyundai,Lantra,16.45,4.67,78.0,1741.0,petrol,1623,1623,138,2472
Suzuki,Baleno,17.59,4.08,73.08,1363.5,petrol,1524,1524,132,2472
Volvo,440,20.28,4.11,72.85,1832.89,petrol,1580,1580,126,2457
Lexus,GS,78.48,0.89,224.78,3196.56,petrol,2034,2034,166,2452
Peugeot,2008,28.88,6.74,89.26,1262.16,petrol,1391,1391,73,2431
Volvo,S70,36.91,4.5,126.15,2344.0,petrol,1924,1924,110,2398
Toyota,GT86,59.76,6.0,147.0,1998.0,petrol,1812,1812,144,2378
Volkswagen,Caddy,24.76,5.71,81.74,1735.58,diesel,1576,1576,126,2324
Peugeot,4007,42.93,3.86,122.14,2308.29,petrol,1507,1507,96,2319
Mercedes,GLK,59.05,6.75,144.38,2417.88,diesel,1576,1576,174,2286
Toyota,Camry,30.01,3.2,115.47,2245.6,petrol,1757,1757,122,2233
Dodge,Nitro,47.88,5.11,141.44,3106.67,diesel,1573,1573,102,2227
Chrysler,Sebring,37.47,5.5,114.5,2167.5,petrol,1624,1624,102,2212
Kia,Shuma,15.16,4.67,75.0,1594.0,petrol,1490,1490,116,2201
Hyundai,Veloster,27.99,5.5,103.0,1591.0,petrol,1240,1240,58,2179
Nissan,Patrol,38.48,4.88,90.94,2953.59,diesel,1739,1739,88,2177
Peugeot,Expert,21.66,5.76,90.86,1809.71,diesel,1708,1708,105,2159
Audi,R8,226.38,6.5,368.67,4857.0,petrol,1882,1882,90,2127
Renault,Wind,22.49,5.0,80.0,1261.25,petrol,572,572,127,2060
Skoda,Rapid,20.66,5.63,73.0,1284.8,petrol,1558,1558,62,2041
Aston-Martin,DB7,158.82,4.5,250.0,3228.0,petrol,1748,1748,113,2031
