Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Toyota,Carina,17.45,4.69,68.27,1791.23,petrol,27515,27515,2183,37760
Nissan,Qashqai+2,34.94,5.25,97.72,1820.66,diesel,20847,20847,3193,37348
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,25058,25058,1965,36849
Skoda,Felicia,11.37,5.0,48.0,1518.0,petrol,21589,21589,1720,36036
Chrysler,Voyager,39.71,4.84,117.58,2719.84,diesel,22301,22301,1742,34887
Suzuki,Alto,9.56,4.6,50.0,996.0,petrol,13743,13743,2910,34681
Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,11787,11787,1778,33993
Fiat,500L,26.29,5.6,74.73,1186.33,diesel,10510,10510,2054,33612
Volvo,S60,52.08,8.0,223.83,1969.0,petrol,26217,26217,1605,32555
Suzuki,Wagon,9.86,5.0,50.0,1090.4,petrol,15619,15619,2172,32474
Porsche,911,158.79,7.47,293.53,3005.4,petrol,27676,27676,1427,32282
Alfa-Romeo,156,32.9,5.33,116.29,2081.38,petrol,23830,23830,1427,30990
Peugeot,308,32.33,5.89,103.11,1482.5,petrol,17747,17747,1139,30384
Fiat,Brava,17.22,4.89,70.0,1615.33,petrol,16639,16639,1685,29386
Citroen,Xantia,24.84,4.76,84.93,1982.76,petrol,22641,22641,1306,29280
Hyundai,I10,16.01,5.0,51.78,998.0,petrol,12758,12758,603,28484
Suzuki,Jimny,25.94,4.78,67.0,1372.67,petrol,12558,12558,2050,28399
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,17779,17779,1364,28372
Peugeot,205,13.12,4.75,50.88,1430.75,petrol,16364,16364,1236,27570
Fiat,Bravo,22.46,6.0,92.31,1466.31,petrol,15888,15888,1243,27404
Porsche,Boxster,83.5,6.5,213.5,3071.0,petrol,19279,19279,1520,27141
Citroen,ZX,16.06,4.92,67.0,1703.15,petrol,17216,17216,1372,26712
